emotion,"emotion intensity",scrambling,gender,"top face","left face","right face",block,"correct answer"
fear,40,14,f,05F_FE_C100_cell14rand,,,6,right
fear,40,14,m,21M_FE_C100_cell14rand,,,6,left
fear,40,14,m,22M_FE_C100_cell14rand,,,6,left
fear,40,14,m,23M_FE_C100_cell14rand,,,6,right
fear,40,14,m,24M_FE_C100_cell14rand,,,6,right
fear,40,14,m,25M_FE_C100_cell14rand,,,6,right
fear,40,10,f,01F_FE_C100_cell10rand,,,6,left
fear,40,10,f,02F_FE_C100_cell10rand,,,6,left
fear,40,10,f,03F_FE_C100_cell10rand,,,6,left
fear,40,10,f,04F_FE_C100_cell10rand,,,6,right
fear,40,10,f,05F_FE_C100_cell10rand,,,6,right
fear,40,10,m,21M_FE_C100_cell10rand,,,6,left
fear,40,10,m,22M_FE_C100_cell10rand,,,6,left
fear,40,10,m,23M_FE_C100_cell10rand,,,6,right
fear,40,10,m,24M_FE_C100_cell10rand,,,6,right
fear,40,10,m,25M_FE_C100_cell10rand,,,6,right
fear,40,6,f,01F_FE_C100_cell6rand,,,6,left
fear,40,6,f,02F_FE_C100_cell6rand,,,6,left
fear,40,6,f,03F_FE_C100_cell6rand,,,6,left
fear,40,6,f,04F_FE_C100_cell6rand,,,6,right
fear,40,6,f,05F_FE_C100_cell6rand,,,6,right
fear,40,6,m,21M_FE_C100_cell6rand,,,6,left
fear,40,6,m,22M_FE_C100_cell6rand,,,6,left
fear,40,6,m,23M_FE_C100_cell6rand,,,6,right
fear,40,6,m,24M_FE_C100_cell6rand,,,6,right
fear,40,6,m,25M_FE_C100_cell6rand,,,6,right
happiness,40,0,f,01F_HA_C100,07F_HA_C040,03F_FE_C040,7,left
happiness,40,0,f,02F_HA_C100,03F_HA_C040,04F_FE_C040,7,left
happiness,40,0,f,03F_HA_C100,01F_FE_C040,08F_HA_C040,7,right
happiness,40,0,f,04F_HA_C100,07F_FE_C040,02F_HA_C040,7,right
happiness,40,0,f,05F_HA_C100,08F_FE_C040,01F_HA_C040,7,right
happiness,40,0,m,21M_HA_C100,27M_HA_C040,23M_FE_C040,7,left
happiness,40,0,m,22M_HA_C100,23M_HA_C040,24M_FE_C040,7,left
happiness,40,0,m,23M_HA_C100,28M_HA_C040,21M_FE_C040,7,left
happiness,40,0,m,24M_HA_C100,27M_FE_C040,22M_HA_C040,7,right
happiness,40,0,m,25M_HA_C100,28M_FE_C040,21M_HA_C040,7,right
happiness,40,14,f,01F_HA_C100_cell14rand,,,8,left
happiness,40,14,f,02F_HA_C100_cell14rand,,,8,left
happiness,40,14,f,03F_HA_C100_cell14rand,,,8,right
happiness,40,14,f,04F_HA_C100_cell14rand,,,8,right
happiness,40,14,f,05F_HA_C100_cell14rand,,,8,right
happiness,40,14,m,21M_HA_C100_cell14rand,,,8,left
happiness,40,14,m,22M_HA_C100_cell14rand,,,8,left
happiness,40,14,m,23M_HA_C100_cell14rand,,,8,left
happiness,40,14,m,24M_HA_C100_cell14rand,,,8,right
happiness,40,14,m,25M_HA_C100_cell14rand,,,8,right
happiness,40,10,f,01F_HA_C100_cell10rand,,,8,left
happiness,40,10,f,02F_HA_C100_cell10rand,,,8,left
happiness,40,10,f,03F_HA_C100_cell10rand,,,8,right
happiness,40,10,f,04F_HA_C100_cell10rand,,,8,right
happiness,40,10,f,05F_HA_C100_cell10rand,,,8,right
happiness,40,10,m,21M_HA_C100_cell10rand,,,8,left
happiness,40,10,m,22M_HA_C100_cell10rand,,,8,left
happiness,40,10,m,23M_HA_C100_cell10rand,,,8,left
happiness,40,10,m,24M_HA_C100_cell10rand,,,8,right
happiness,40,10,m,25M_HA_C100_cell10rand,,,8,right
happiness,40,6,f,01F_HA_C100_cell6rand,,,8,left
happiness,40,6,f,02F_HA_C100_cell6rand,,,8,left
happiness,40,6,f,03F_HA_C100_cell6rand,,,8,right
happiness,40,6,f,04F_HA_C100_cell6rand,,,8,right
happiness,40,6,f,05F_HA_C100_cell6rand,,,8,right
happiness,40,6,m,21M_HA_C100_cell6rand,,,8,left
happiness,40,6,m,22M_HA_C100_cell6rand,,,8,left
happiness,40,6,m,23M_HA_C100_cell6rand,,,8,left
happiness,40,6,m,24M_HA_C100_cell6rand,,,8,right
happiness,40,6,m,25M_HA_C100_cell6rand,,,8,right
